2016-03-08 15:12:01.871548IP Scanner Log for 03-08-2016, 15:11 America/New_York,,,
remote device,other,10.144.0.151,68:A8:6D:40:1D:34,3/8/16 15:12
remote device,other,10.144.0.167,20:C9:D0:E2:7C:61,3/8/16 15:13
remote device,other,10.144.0.168,68:A8:6D:1E:9F:FA,3/8/16 15:13
remote device,other,10.144.0.176,24:0A:64:C0:3C:19,3/8/16 15:13
remote device,other,10.144.0.190,80:56:F2:3C:4F:68,3/8/16 15:13
remote device,other,10.144.0.209,80:56:F2:D7:68:D5,3/8/16 15:13
remote device,other,10.144.0.210,1C:5C:F2:62:27:C9,3/8/16 15:13
remote device,other,10.144.0.218,78:7E:61:44:C2:80,3/8/16 15:13
remote device,other,10.144.0.222,4C:7C:5F:A0:41:4E,3/8/16 15:13
remote device,other,10.144.0.229,FC:C2:DE:1E:A3:68,3/8/16 15:14
remote device,other,10.144.0.233,38:AA:3C:1C:8D:7C,3/8/16 15:14
remote device,other,10.144.0.236,00:23:6C:96:C7:D4,3/8/16 15:14
remote device,other,10.144.0.240,5C:96:9D:7D:A8:D5,3/8/16 15:14
remote device,other,10.144.0.242,D8:BB:2C:71:D4:88,3/8/16 15:14
local user (bass),Home,10.144.5.197,34:36:3B:62:4E:D4,3/8/16 15:10
remote device,other,10.144.39.2,20:C9:D0:BB:52:85,3/8/16 15:14
remote device,other,10.144.39.18,D0:DF:9A:68:8B:48,3/8/16 15:14
remote device,other,10.144.39.21,80:E6:50:1C:B9:D0,3/8/16 15:14
remote device,other,10.144.39.24,D0:57:85:FB:DE:A0,3/8/16 15:14
remote device,other,10.144.39.36,60:F8:1D:C1:15:66,3/8/16 15:14
remote device,other,10.144.39.40,AC:BC:32:9F:17:99,3/8/16 15:14
remote device,other,10.144.39.46,78:F8:82:B2:5B:5A,3/8/16 15:14
remote device,other,10.144.39.50,FC:DB:B3:F3:22:DA,3/8/16 15:14
remote device,other,10.144.39.52,20:C9:D0:C7:6B:9D,3/8/16 15:14
remote device,other,10.144.39.71,DC:86:D8:CA:13:D9,3/8/16 15:15
remote device,other,10.144.39.72,2C:D0:5A:8D:25:70,3/8/16 15:15
remote device,other,10.144.39.74,78:31:C1:C0:81:84,3/8/16 15:15
,,,,
,,,,
2016-03-08 15:18:01.879327IP Scanner Log for 03-08-2016, 15:17 America/New_York,,,
,,,,
Name,Device Type,IP,MAC,Last Seen
network router,Router,10.144.0.1,00:06:F6:EB:46:00,3/8/16 15:10
remote device,other,10.144.0.18,34:36:3B:71:2B:92,3/8/16 15:11
remote device,other,10.144.0.19,C8:85:50:82:11:7C,3/8/16 15:11
remote device,other,10.144.0.22,1C:56:FE:C5:20:BC,3/8/16 15:11
remote device,other,10.144.0.27,48:D7:05:BF:B8:9F,3/8/16 15:11
